Maximaler Train Acc: 0.9497 bei Epoch: 9714
Maximaler Test Acc: 0.9308 bei Epoch: 8584

/home/boris.grillborzer/miniconda3/envs/gggten/bin/python /home/boris.grillborzer/PycharmProjects/PoseEstimationFPHAB/modelundmainfun.py 


Epoch: 290, Train Acc: 0.7448, Test Acc: 0.7190
Epoch: 291, Train Acc: 0.7453, Test Acc: 0.7267
Epoch: 292, Train Acc: 0.7440, Test Acc: 0.7245
Epoch: 293, Train Acc: 0.7368, Test Acc: 0.7234
Epoch: 294, Train Acc: 0.7327, Test Acc: 0.7223
Epoch: 295, Train Acc: 0.7297, Test Acc: 0.7212
Epoch: 296, Train Acc: 0.7305, Test Acc: 0.7322
Epoch: 297, Train Acc: 0.7456, Test Acc: 0.7453
Epoch: 298, Train Acc: 0.7266, Test Acc: 0.7289
Epoch: 299, Train Acc: 0.7415, Test Acc: 0.7311
Epoch: 300, Train Acc: 0.7324, Test Acc: 0.7333
Epoch: 301, Train Acc: 0.7343, Test Acc: 0.7201
Epoch: 302, Train Acc: 0.7354, Test Acc: 0.7311
Epoch: 303, Train Acc: 0.7223, Test Acc: 0.7355
Epoch: 304, Train Acc: 0.7236, Test Acc: 0.7190
Epoch: 305, Train Acc: 0.7376, Test Acc: 0.7256
Epoch: 306, Train Acc: 0.7418, Test Acc: 0.7333
Epoch: 307, Train Acc: 0.7286, Test Acc: 0.7212
Epoch: 308, Train Acc: 0.7374, Test Acc: 0.7387
Epoch: 309, Train Acc: 0.7365, Test Acc: 0.7322
Epoch: 310, Train Acc: 0.7291, Test Acc: 0.7366
Epoch: 311, Train Acc: 0.7217, Test Acc: 0.7245
Epoch: 312, Train Acc: 0.7261, Test Acc: 0.7300
Epoch: 313, Train Acc: 0.7393, Test Acc: 0.7267
Epoch: 314, Train Acc: 0.7398, Test Acc: 0.7366
Epoch: 315, Train Acc: 0.7140, Test Acc: 0.7102
Epoch: 316, Train Acc: 0.7407, Test Acc: 0.7212
Epoch: 317, Train Acc: 0.7368, Test Acc: 0.7267
Epoch: 318, Train Acc: 0.7440, Test Acc: 0.7442
Epoch: 319, Train Acc: 0.7253, Test Acc: 0.7102
Epoch: 320, Train Acc: 0.7297, Test Acc: 0.7278
Epoch: 321, Train Acc: 0.7415, Test Acc: 0.7267
Epoch: 322, Train Acc: 0.7407, Test Acc: 0.7289
Epoch: 323, Train Acc: 0.7302, Test Acc: 0.7102
Epoch: 324, Train Acc: 0.7497, Test Acc: 0.7442
Epoch: 325, Train Acc: 0.7451, Test Acc: 0.7355
Epoch: 326, Train Acc: 0.7404, Test Acc: 0.7267
Epoch: 327, Train Acc: 0.7374, Test Acc: 0.7256
Epoch: 328, Train Acc: 0.7299, Test Acc: 0.7278
Epoch: 329, Train Acc: 0.7464, Test Acc: 0.7377
Epoch: 330, Train Acc: 0.7316, Test Acc: 0.7245
Epoch: 331, Train Acc: 0.7431, Test Acc: 0.7300
Epoch: 332, Train Acc: 0.7195, Test Acc: 0.6959
Epoch: 333, Train Acc: 0.7277, Test Acc: 0.7223
Epoch: 334, Train Acc: 0.7467, Test Acc: 0.7256
Epoch: 335, Train Acc: 0.7401, Test Acc: 0.7453
Epoch: 336, Train Acc: 0.7451, Test Acc: 0.7344
Epoch: 337, Train Acc: 0.7245, Test Acc: 0.7091
Epoch: 338, Train Acc: 0.7511, Test Acc: 0.7300
Epoch: 339, Train Acc: 0.7516, Test Acc: 0.7366
Epoch: 340, Train Acc: 0.7223, Test Acc: 0.7234
Epoch: 341, Train Acc: 0.7236, Test Acc: 0.7256
Epoch: 342, Train Acc: 0.7456, Test Acc: 0.7234
Epoch: 343, Train Acc: 0.7464, Test Acc: 0.7409
Epoch: 344, Train Acc: 0.7387, Test Acc: 0.7278
Epoch: 345, Train Acc: 0.7206, Test Acc: 0.7201
Epoch: 346, Train Acc: 0.7418, Test Acc: 0.7245
Epoch: 347, Train Acc: 0.7418, Test Acc: 0.7366
Epoch: 348, Train Acc: 0.7429, Test Acc: 0.7344
Epoch: 349, Train Acc: 0.7352, Test Acc: 0.7190
Epoch: 350, Train Acc: 0.7321, Test Acc: 0.7398
Epoch: 351, Train Acc: 0.7503, Test Acc: 0.7464
Epoch: 352, Train Acc: 0.7423, Test Acc: 0.7377
Epoch: 353, Train Acc: 0.7140, Test Acc: 0.6959
Epoch: 354, Train Acc: 0.7456, Test Acc: 0.7322
Epoch: 355, Train Acc: 0.7418, Test Acc: 0.7398
Epoch: 356, Train Acc: 0.7357, Test Acc: 0.7278
Epoch: 357, Train Acc: 0.7365, Test Acc: 0.7289
Epoch: 358, Train Acc: 0.7393, Test Acc: 0.7300
Epoch: 359, Train Acc: 0.7426, Test Acc: 0.7300
Epoch: 360, Train Acc: 0.7420, Test Acc: 0.7398
Epoch: 361, Train Acc: 0.7404, Test Acc: 0.7366
Epoch: 362, Train Acc: 0.7236, Test Acc: 0.7102
Epoch: 363, Train Acc: 0.7434, Test Acc: 0.7234
Epoch: 364, Train Acc: 0.7442, Test Acc: 0.7442
Epoch: 365, Train Acc: 0.7371, Test Acc: 0.7355
Epoch: 366, Train Acc: 0.7541, Test Acc: 0.7475
Epoch: 367, Train Acc: 0.7514, Test Acc: 0.7267
Epoch: 368, Train Acc: 0.7514, Test Acc: 0.7420
Epoch: 369, Train Acc: 0.7462, Test Acc: 0.7179
Epoch: 370, Train Acc: 0.7473, Test Acc: 0.7344
Epoch: 371, Train Acc: 0.7275, Test Acc: 0.7234
Epoch: 372, Train Acc: 0.7352, Test Acc: 0.7409
Epoch: 373, Train Acc: 0.7360, Test Acc: 0.7047
Epoch: 374, Train Acc: 0.7437, Test Acc: 0.7179
Epoch: 375, Train Acc: 0.7514, Test Acc: 0.7409
Epoch: 376, Train Acc: 0.7310, Test Acc: 0.7344
Epoch: 377, Train Acc: 0.7481, Test Acc: 0.7366
Epoch: 378, Train Acc: 0.7481, Test Acc: 0.7157
Epoch: 379, Train Acc: 0.7519, Test Acc: 0.7387
Epoch: 380, Train Acc: 0.7478, Test Acc: 0.7387
Epoch: 381, Train Acc: 0.7371, Test Acc: 0.7278
Epoch: 382, Train Acc: 0.7497, Test Acc: 0.7475
Epoch: 383, Train Acc: 0.7530, Test Acc: 0.7398
Epoch: 384, Train Acc: 0.7379, Test Acc: 0.7278
Epoch: 385, Train Acc: 0.7368, Test Acc: 0.7256
Epoch: 386, Train Acc: 0.7382, Test Acc: 0.7234
Epoch: 387, Train Acc: 0.7385, Test Acc: 0.7289
Epoch: 388, Train Acc: 0.7569, Test Acc: 0.7366
Epoch: 389, Train Acc: 0.7407, Test Acc: 0.7387
Epoch: 390, Train Acc: 0.7516, Test Acc: 0.7278
Epoch: 391, Train Acc: 0.7363, Test Acc: 0.7300
Epoch: 392, Train Acc: 0.7445, Test Acc: 0.7377
Epoch: 393, Train Acc: 0.7434, Test Acc: 0.7157
Epoch: 394, Train Acc: 0.7176, Test Acc: 0.7058
Epoch: 395, Train Acc: 0.7563, Test Acc: 0.7398
Epoch: 396, Train Acc: 0.7530, Test Acc: 0.7333
Epoch: 397, Train Acc: 0.7516, Test Acc: 0.7300
Epoch: 398, Train Acc: 0.7555, Test Acc: 0.7300
Epoch: 399, Train Acc: 0.7549, Test Acc: 0.7442
Epoch: 400, Train Acc: 0.7239, Test Acc: 0.7344
Epoch: 401, Train Acc: 0.7577, Test Acc: 0.7278
Epoch: 402, Train Acc: 0.7563, Test Acc: 0.7464
Epoch: 403, Train Acc: 0.7621, Test Acc: 0.7409
Epoch: 404, Train Acc: 0.7429, Test Acc: 0.7322
Epoch: 405, Train Acc: 0.7497, Test Acc: 0.7464
Epoch: 406, Train Acc: 0.7514, Test Acc: 0.7366
Epoch: 407, Train Acc: 0.7560, Test Acc: 0.7453
Epoch: 408, Train Acc: 0.7588, Test Acc: 0.7355
Epoch: 409, Train Acc: 0.7484, Test Acc: 0.7289
Epoch: 410, Train Acc: 0.7585, Test Acc: 0.7366
Epoch: 411, Train Acc: 0.7429, Test Acc: 0.7278
Epoch: 412, Train Acc: 0.7478, Test Acc: 0.7431
Epoch: 413, Train Acc: 0.7390, Test Acc: 0.7322
Epoch: 414, Train Acc: 0.7629, Test Acc: 0.7387
Epoch: 415, Train Acc: 0.7473, Test Acc: 0.7344
Epoch: 416, Train Acc: 0.7585, Test Acc: 0.7344
Epoch: 417, Train Acc: 0.7379, Test Acc: 0.7311
